% Model,Concave Reflector-Parametric Sweep.mph
% Version,COMSOL 5.1.0.145
% Date,"Jun 22 2015, 11:47"
% Table,Table 2 - Surface Maximum 1 (actd.p_t)
% Rbar,Dbar,t (µs),Total acoustic pressure field (Pa)
0.28,0.7,2466,34490.94084894172
0.28,0.7,2467.9999999999995,39426.29848826479
0.28,0.7,2470,41915.976923627764
0.28,0.7,2472,42972.279736529075
0.28,0.7,2474,41182.41448538165
0.28,0.7,2476,36309.51459388228
0.28,0.7,2477.9999999999995,31263.934938326747
0.28,0.7,2480,25221.105642728086
0.28,0.7,2482,19908.81934285759
0.28,0.7,2484,18238.359506644956
0.28,0.7,2486,25101.77075356012
0.28,0.7,2487.9999999999995,33158.162083884294
0.28,0.7,2490,38507.775857795714
0.28,0.7,2492,41742.075263975516
0.28,0.7,2493.9999999999995,42273.91836220452
0.28,0.7,2496,42598.07225922115
0.28,0.7,2498,40305.07992244741
0.28,0.7,2500,35093.650858793684
0.28,0.9,2450,52656.031639164336
0.28,0.9,2451.9999999999995,43022.19216838956
0.28,0.9,2454,33425.327661398165
0.28,0.9,2456,22810.813872495575
0.28,0.9,2457.9999999999995,16104.762112096003
0.28,0.9,2460,24076.037755493915
0.28,0.9,2462,38347.23563664602
0.28,0.9,2464,49970.6248978676
0.28,0.9,2466,56975.8099130588
0.28,0.9,2467.9999999999995,60808.3135225202
0.28,0.9,2470,59711.10016272713
0.28,0.9,2472,54582.93349337906
0.28,0.9,2474,46190.97919050507
0.28,0.9,2476,35933.048344384704
0.28,0.9,2477.9999999999995,27174.800440108545
0.28,0.9,2480,17217.769690145527
0.28,0.9,2482,16248.458210552886
0.28,0.9,2484,30384.6452558244
0.28,0.9,2486,42656.12316595101
0.28,0.9,2487.9999999999995,51397.73165134537
0.28,0.9,2490,57109.32778570001
0.28,0.9,2492,57684.948329467574
0.28,0.9,2493.9999999999995,54461.262414268895
0.28,0.9,2496,47681.258982290325
0.28,0.9,2498,40274.61192483354
0.28,0.9,2500,30348.166202998218
0.28,1.1,2450,45458.101106653114
0.28,1.1,2451.9999999999995,35481.90023030379
0.28,1.1,2454,23597.263347208245
0.28,1.1,2456,14215.182474358939
0.28,1.1,2457.9999999999995,9320.31564282698
0.28,1.1,2460,24571.19907554094
0.28,1.1,2462,37693.53427655431
0.28,1.1,2464,48052.42605072524
0.28,1.1,2466,54722.64842893129
0.28,1.1,2467.9999999999995,57192.19104638833
0.28,1.1,2470,55292.50792192965
0.28,1.1,2472,49205.36385571952
0.28,1.1,2474,40194.11081180483
0.28,1.1,2476,28465.403581776747
0.28,1.1,2477.9999999999995,18420.789370509625
0.28,1.1,2480,8816.649029894637
0.28,1.1,2482,18801.634504995778
0.28,1.1,2484,32370.566419818082
0.28,1.1,2486,43545.99486713976
0.28,1.1,2487.9999999999995,51839.60335428829
0.28,1.1,2490,56247.74088652876
0.28,1.1,2492,56442.73386557927
0.28,1.1,2493.9999999999995,52438.376198865546
0.28,1.1,2496,44561.13156952979
0.28,1.1,2498,33508.63210809841
0.28,1.1,2500,20507.796034710325
0.28,1.3,2450,82587.69247112877
0.28,1.3,2451.9999999999995,77628.60452111808
0.28,1.3,2454,64080.434163082755
0.28,1.3,2456,46453.6787928909
0.28,1.3,2457.9999999999995,27228.94803870342
0.28,1.3,2460,10417.594855457392
0.28,1.3,2462,28195.174858212344
0.28,1.3,2464,49640.32735771735
0.28,1.3,2466,67638.73819609043
0.28,1.3,2467.9999999999995,80640.64910110539
0.28,1.3,2470,87642.84278918516
0.28,1.3,2472,86122.8055281455
