0.006,0.366,0.056,,0.06
0.028,0.329,0.074,,0.053934426
0.049,0.267,0.068,,0.043770492
0.071,0.192,0.062,,0.03147541
0.103,0.068,0.062,,0.011147541
0.125,0,0.068,,0
0.146,-0.081,0.068,,-0.013278689
0.169,-0.18,0.062,,-0.029508197
0.19,-0.26,0.062,,-0.042622951
0.212,-0.316,0.074,,-0.051803279
0.234,-0.36,0.062,,-0.059016393
0.256,-0.384,0.062,,-0.06295082
0.278,-0.372,0.074,,-0.060983607
0.3,-0.378,0.068,,-0.061967213
0.322,-0.329,0.068,,-0.053934426
0.343,-0.267,0.074,,-0.043770492
0.365,-0.205,0.074,,-0.033606557
0.387,-0.118,0.062,,-0.019344262
0.409,-0.019,0.074,,-0.003114754
0.43,0.068,0.074,,0.011147541
0.453,0.124,0.062,,0.020327869
0.627,0.329,0.074,,0.053934426
0.648,0.267,0.081,,0.043770492
0.67,0.192,0.062,,0.03147541
0.692,0.13,0.074,,0.021311475
0.714,0.043,0.081,,0.00704918
0.735,-0.043,0.068,,-0.00704918
0.758,-0.124,0.068,,-0.020327869
0.779,-0.192,0.081,,-0.03147541
0.801,-0.273,0.068,,-0.044754098
0.822,-0.322,0.068,,-0.052786885
0.845,-0.36,0.081,,-0.059016393
0.866,-0.378,0.074,,-0.061967213
0.888,-0.372,0.068,,-0.060983607
0.91,-0.335,0.074,,-0.054918033
0.932,-0.298,0.081,,-0.048852459
0.953,-0.242,0.068,,-0.039672131
0.986,-0.124,0.068,,-0.020327869
1.009,-0.031,0.074,,-0.005081967
1.03,0.056,0.081,,0.009180328
1.052,0.118,0.074,,0.019344262
1.073,0.198,0.074,,0.032459016
1.096,0.26,0.081,,0.042622951
1.117,0.298,0.074,,0.048852459
1.139,0.341,0.074,,0.055901639
1.171,0.366,0.074,,0.06
1.335,-0.019,0.074,,-0.003114754
1.357,-0.105,0.074,,-0.017213115
1.379,-0.174,0.087,,-0.02852459
1.401,-0.267,0.074,,-0.043770492
1.423,-0.298,0.074,,-0.048852459
1.445,-0.329,0.087,,-0.053934426
1.467,-0.353,0.081,,-0.057868852
1.489,-0.353,0.074,,-0.057868852
1.511,-0.316,0.087,,-0.051803279
1.534,-0.291,0.081,,-0.047704918
1.555,-0.229,0.074,,-0.037540984
1.578,-0.149,0.087,,-0.02442623
1.599,-0.074,0.087,,-0.012131148
1.622,0.006,0.081,,0.000983607
1.644,0.087,0.087,,0.014262295
1.666,0.149,0.087,,0.02442623
1.688,0.229,0.081,,0.037540984
1.71,0.279,0.087,,0.045737705
1.732,0.31,0.087,,0.050819672
1.754,0.347,0.081,,0.056885246
1.777,0.347,0.087,,0.056885246
1.798,0.329,0.087,,0.053934426
1.821,0.316,0.081,,0.051803279
1.842,0.279,0.087,,0.045737705
1.865,0.217,0.087,,0.03557377
1.891,0.143,0.087,,0.023442623
1.913,0.062,0.093,,0.010163934
1.935,-0.012,0.087,,-0.001967213
1.957,-0.081,0.081,,-0.013278689
