1	0	58	58	58	533.892	999.989
2	0	52	52	52	1186.428	978.803
3	0	88	88	88	874.990	1169.479
4	0	65	65	65	461.859	879.228
5	0	78	78	78	472.452	896.177
6	0	54	54	54	489.401	919.481
7	0	71	71	71	493.639	932.193
8	0	61	61	61	506.350	940.668
9	0	76	76	76	512.706	955.498
10	0	68	68	68	519.062	966.091
11	0	90	90	90	521.181	980.921
12	0	60	60	60	538.130	1014.819
13	0	88	88	88	536.011	1031.768
14	0	105	105	105	531.774	1044.480
15	0	107	107	107	533.892	1059.310
16	0	87	87	87	540.248	1072.022
17	0	60	60	60	552.960	1084.734
18	0	53	53	53	561.435	1101.683
19	0	67	67	67	555.079	1112.276
20	0	67	67	67	555.079	1127.106
21	0	88	88	88	557.197	1139.818
22	0	67	67	67	569.909	1146.174
23	0	43	43	43	582.621	1154.648
24	0	37	37	37	595.332	1165.241
25	0	39	39	39	605.926	1175.834
26	0	81	81	81	618.637	1192.783
27	0	83	83	83	637.705	1190.665
28	0	106	106	106	652.535	1199.139
29	0	107	107	107	665.247	1207.614
30	0	69	69	69	675.840	1192.783
31	0	67	67	67	694.908	1192.783
32	0	69	69	69	711.857	1194.902
33	0	75	75	75	724.568	1190.665
34	0	77	77	77	739.399	1190.665
35	0	83	83	83	754.229	1197.021
36	0	115	115	115	769.059	1203.377
37	0	79	79	79	781.771	1192.783
38	0	91	91	91	794.483	1192.783
39	0	97	97	97	813.550	1188.546
40	0	87	87	87	826.262	1184.309
41	0	102	102	102	843.211	1180.072
42	0	87	87	87	858.041	1171.597
43	0	101	101	101	889.821	1175.834
44	0	101	101	101	902.532	1190.665
45	0	121	121	121	917.363	1186.428
46	0	97	97	97	930.074	1177.953
47	0	94	94	94	942.786	1177.953
48	0	99	99	99	955.498	1182.190
49	0	107	107	107	970.328	1190.665
50	0	118	118	118	985.159	1194.902
51	0	117	117	117	1002.108	1197.021
52	0	94	94	94	1014.819	1199.139
53	0	88	88	88	1027.531	1199.139
54	0	98	98	98	1055.073	1203.377
55	0	107	107	107	1072.022	1199.139
56	0	68	68	68	1086.852	1186.428
57	0	53	53	53	1101.683	1175.834
58	0	51	51	51	1114.395	1173.716
59	0	56	56	56	1133.462	1167.360
60	0	56	56	56	1144.055	1161.004
61	0	45	45	45	1158.885	1148.292
62	0	27	27	27	1167.360	1133.462
63	0	22	22	22	1175.834	1118.632
64	0	21	21	21	1180.072	1103.801
65	0	41	41	41	1190.665	1088.971
66	0	46	46	46	1192.783	1076.259
67	0	19	19	19	1188.546	1059.310
68	0	23	23	23	1180.072	1044.480
69	0	39	39	39	1165.241	1031.768
70	0	48	48	48	1165.241	1016.938
71	0	43	43	43	1175.834	1004.226
72	0	37	37	37	1180.072	989.396
73	0	51	51	51	1190.665	961.854
74	0	67	67	67	1197.021	947.023
75	0	54	54	54	1197.021	930.074
76	0	44	44	44	1197.021	913.125
77	0	31	31	31	1203.377	898.295
78	0	24	24	24	1209.732	883.465
79	0	21	21	21	1218.207	868.634
80	0	35	35	35	1218.207	849.567
